name,gifFront,gifBack,cry,experienceGroup,hp,elements,attack,defense,magicalAttack,magicalDefense,speed,description
Hoothoot,163.gif,163b.gif,163.ogg,MEDIUM,60,"NORMAL,FLYING",30,30,36,56,50,"It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time."
Noctowl,164.gif,164b.gif,164.ogg,MEDIUM,100,"NORMAL,FLYING",50,50,76,96,70,"Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark."
Ledyba,165.gif,165b.gif,165.ogg,FAST,40,"BUG,FLYING",20,30,40,80,55,"When the weather turns cold, lots of Ledyba gather from everywhere to cluster and keep each other warm."
Ledian,166.gif,166b.gif,166.ogg,FAST,55,"BUG,FLYING",35,50,55,110,85,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
Spinarak,167.gif,167b.gif,167.ogg,FAST,40,"BUG,POISON",60,40,40,40,30,"It spins a web using fine--but durable--thread. It then waits patiently for prey to be trapped."
Ariados,168.gif,168b.gif,168.ogg,FAST,70,"BUG,POISON",90,70,60,60,40,"It spins string not only from its rear but also from its mouth. It’s hard to tell which end is which."
Crobat,169.gif,169b.gif,169.ogg,MEDIUM,85,"POISON,FLYING",90,80,70,80,130,"It flies so silently through the dark on its four wings that it may not be noticed even when nearby."
Chinchou,170.gif,170b.gif,170.ogg,SLOW,75,"WATER,ELECTRIC",38,38,56,56,67,"On the dark ocean floor, its only means of communication is its constantly flashing lights."
Lanturn,171.gif,171b.gif,171.ogg,SLOW,125,"WATER,ELECTRIC",58,58,76,76,67,"Lanturn’s light can shine up from great depths. It is nicknamed “The Deep-Sea Star.”"
Pichu,172.gif,172b.gif,172.ogg,MEDIUM,20,ELECTRIC,40,15,35,35,60,"It plays with others by touching tails and setting off sparks. This appears to be a test of courage."
Cleffa,173.gif,173b.gif,173.ogg,FAST,50,FAIRY,25,28,45,55,15,"Because of its unusual, starlike silhouette, people believe that it came here on a meteor."
Igglybuff,174.gif,174b.gif,174.ogg,FAST,90,"NORMAL,FAIRY",30,15,40,20,15,"Instead of walking with its short legs, it moves around by bouncing on its soft, tender body."
Togepi,175.gif,175b.gif,175.ogg,FAST,35,FAIRY,20,65,40,65,20,"The shell seems to be filled with joy. It is said that it will share good luck when treated kindly."
Togetic,176.gif,176b.gif,176.ogg,FAST,55,"FAIRY,FLYING",40,85,80,105,40,"It grows dispirited if it is not with kind people. It can float in midair without moving its wings."
Natu,177.gif,177b.gif,177.ogg,MEDIUM,40,"PSYCHIC,FLYING",50,45,70,45,70,"Because its wings aren’t yet fully grown, it has to hop to get around. It is always staring at something."
Xatu,178.gif,178b.gif,178.ogg,MEDIUM,65,"PSYCHIC,FLYING",75,70,95,70,95,"Once it begins to meditate at sunrise, the entire day will pass before it will move again."
Mareep,179.gif,179b.gif,179.ogg,MEDIUM_SLOW,55,ELECTRIC,40,40,65,45,35,"Its fluffy coat swells to double when static electricity builds up. Touching it can be shocking."
Flaaffy,180.gif,180b.gif,180.ogg,MEDIUM_SLOW,70,ELECTRIC,55,55,80,60,45,"Its fluffy fleece easily stores electricity. Its rubbery hide keeps it from being electrocuted."
Ampharos,181.gif,181b.gif,181.ogg,MEDIUM_SLOW,90,ELECTRIC,75,85,115,90,55,"The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people."
Bellossom,182.gif,182b.gif,182.ogg,MEDIUM_SLOW,75,GRASS,80,95,90,100,50,"Bellossom gather at times and seem to dance. They say that the dance is a ritual to summon the sun."
Marill,183.gif,183b.gif,183.ogg,FAST,70,"WATER,FAIRY",20,50,20,50,40,"The fur on its body naturally repels water. It can stay dry, even when it plays in the water."
Azumarill,184.gif,184b.gif,184.ogg,FAST,100,"WATER,FAIRY",50,80,60,80,50,"Its long ears are superb sensors. It can distinguish the movements of living things on riverbeds."
Sudowoodo,185.gif,185b.gif,185.ogg,MEDIUM,70,ROCK,100,115,30,65,30,"Although it always pretends to be a tree, its composition appears more similar to rock than to vegetation."
Politoed,186.gif,186b.gif,186.ogg,MEDIUM_SLOW,90,WATER,75,75,90,100,70,"Whenever three or more of these get together, they sing in a loud voice that sounds like bellowing."
Hoppip,187.gif,187b.gif,187.ogg,MEDIUM_SLOW,35,"GRASS,FLYING",35,40,35,55,50,"Its body is so light, it must grip the ground firmly with its feet to keep from being blown away."
Skiploom,188.gif,188b.gif,188.ogg,MEDIUM_SLOW,55,"GRASS,FLYING",45,50,45,65,80,"The bloom on top of its head opens and closes as the temperature fluctuates up and down."
Jumpluff,189.gif,189b.gif,189.ogg,MEDIUM_SLOW,75,"GRASS,FLYING",55,70,55,95,110,"Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes."
Aipom,190.gif,190b.gif,190.ogg,FAST,55,NORMAL,70,55,40,55,85,"It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance."
Sunkern,191.gif,191b.gif,191.ogg,MEDIUM_SLOW,30,GRASS,30,30,30,30,30,"It may plummet from the sky. If attacked by a Spearow, it will violently shake its leaves."
Sunflora,192.gif,192b.gif,192.ogg,MEDIUM_SLOW,75,GRASS,75,55,105,85,30,"As the hot season approaches, the petals on this Pokémon’s face become more vivid and lively."
Yanma,193.gif,193b.gif,193.ogg,MEDIUM,65,"BUG,FLYING",65,45,75,45,95,"Its eyes can see 360 degrees without moving its head. It won’t miss prey--even those behind it."
Wooper,194.gif,194b.gif,194.ogg,MEDIUM,55,"WATER,GROUND",45,45,25,25,15,"This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside."
Quagsire,195.gif,195b.gif,195.ogg,MEDIUM,95,"WATER,GROUND",85,85,65,65,35,"It has a sluggish nature. It lies at the river’s bottom, waiting for prey to stray into its mouth."
Espeon,196.gif,196b.gif,196.ogg,MEDIUM,65,PSYCHIC,65,60,130,95,110,"The tip of its forked tail quivers when it is predicting its opponent’s next move."
Umbreon,197.gif,197b.gif,197.ogg,MEDIUM,95,DARK,65,110,60,130,65,"The light of the moon changed Eevee’s genetic structure. It lurks in darkness for prey."
Murkrow,198.gif,198b.gif,198.ogg,MEDIUM_SLOW,60,"DARK,FLYING",85,42,85,42,91,"It hides any shiny object it finds in a secret location. Murkrow and Meowth loot one another’s stashes."
Slowking,199.gif,199b.gif,199.ogg,MEDIUM,95,"WATER,PSYCHIC",75,80,100,110,30,"It has incredible intellect and intuition. Whatever the situation, it remains calm and collected."
Misdreavus,200.gif,200b.gif,200.ogg,FAST,60,GHOST,60,60,85,85,85,"It gets nourishment from fear that it absorbs into its red orbs. In daytime, it sleeps in darkness."
Unown,201.gif,201b.gif,201.ogg,MEDIUM,48,PSYCHIC,72,48,72,48,48,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning."
Wobbuffet,202.gif,202b.gif,202.ogg,MEDIUM,190,PSYCHIC,33,58,33,58,33,"It hates light and shock. If attacked, it inflates its body to build up its counterstrike."
Girafarig,203.gif,203b.gif,203.ogg,MEDIUM,70,"NORMAL,PSYCHIC",80,65,90,65,85,"While it sleeps, the head on its tail keeps watch. The tail doesn’t need to sleep."
Pineco,204.gif,204b.gif,204.ogg,MEDIUM,50,BUG,65,90,35,35,15,"It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn’t bother it."
Forretress,205.gif,205b.gif,205.ogg,MEDIUM,75,"BUG,STEEL",90,140,60,60,40,"It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards."
Dunsparce,206.gif,206b.gif,206.ogg,MEDIUM,100,NORMAL,70,70,65,65,45,"When spotted, this Pokémon escapes backward by furiously boring into the ground with its tail."
Gligar,207.gif,207b.gif,207.ogg,MEDIUM_SLOW,65,"GROUND,FLYING",75,105,35,65,85,"It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack."
Steelix,208.gif,208b.gif,208.ogg,MEDIUM,75,"STEEL,GROUND",85,200,55,65,30,"Tempered underground under high pressure and heat, its body is harder than any metal."
Snubbull,209.gif,209b.gif,209.ogg,FAST,60,FAIRY,80,50,40,40,30,"It has an active, playful nature. Many women like to frolic with it because of its affectionate ways."
Granbull,210.gif,210b.gif,210.ogg,FAST,90,FAIRY,120,75,60,60,45,"It is timid in spite of its looks. If it becomes enraged, however, it will strike with its huge fangs."
Qwilfish,211.gif,211b.gif,211.ogg,MEDIUM,65,"WATER,POISON",95,75,55,55,85,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once."
Scizor,212.gif,212b.gif,212.ogg,MEDIUM,70,"BUG,STEEL",130,100,55,80,65,"This Pokémon’s pincers, which contain steel, can crush any hard object it gets ahold of into bits."
Shuckle,213.gif,213b.gif,213.ogg,MEDIUM_SLOW,20,"BUG,ROCK",10,230,10,230,5,"The berries stored in its jar-like shell eventually become a thick, pulpy juice."
Heracross,214.gif,214b.gif,214.ogg,SLOW,80,"BUG,FIGHTING",125,75,40,95,85,"This powerful Pokémon thrusts its prized horn under its enemies’ bellies, then lifts and throws them."
Sneasel,215.gif,215b.gif,215.ogg,MEDIUM_SLOW,55,"DARK,ICE",95,55,35,75,115,"It feeds on eggs stolen from nests. Its sharply hooked claws rip vulnerable spots on prey."
Teddiursa,216.gif,216b.gif,216.ogg,MEDIUM,60,NORMAL,80,50,50,50,40,"If it finds honey, its crescent mark glows. It always licks its paws because they’re soaked with honey."
Ursaring,217.gif,217b.gif,217.ogg,MEDIUM,90,NORMAL,130,75,75,75,55,"With its ability to distinguish any aroma, it unfailingly finds all food buried deep underground."
Slugma,218.gif,218b.gif,218.ogg,MEDIUM,40,FIRE,40,40,70,40,20,"A common sight in volcanic areas, it slowly slithers around in a constant search for warm places."
Magcargo,219.gif,219b.gif,219.ogg,MEDIUM,50,"FIRE,ROCK",50,120,80,80,30,"Its brittle shell occasionally spouts intense flames that circulate throughout its body."
Swinub,220.gif,220b.gif,220.ogg,SLOW,50,"ICE,GROUND",50,40,30,30,50,"It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs."
Piloswine,221.gif,221b.gif,221.ogg,SLOW,100,"ICE,GROUND",100,80,60,60,50,"Although its legs are short, its rugged hooves prevent it from slipping, even on icy ground."
Corsola,222.gif,222b.gif,222.ogg,FAST,55,"WATER,ROCK",55,85,65,85,35,"It continuously sheds and grows. The tip of its head is prized as a treasure because of its beauty."
Remoraid,223.gif,223b.gif,223.ogg,MEDIUM,35,WATER,65,35,65,35,65,"It has superb accuracy. The water it shoots out can strike moving prey from more than 300 feet away."
Octillery,224.gif,224b.gif,224.ogg,MEDIUM,75,WATER,105,75,105,75,45,"It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking."
Delibird,225.gif,225b.gif,225.ogg,FAST,45,"ICE,FLYING",55,45,65,45,75,"It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains."
Mantine,226.gif,226b.gif,226.ogg,SLOW,65,"WATER,FLYING",40,70,80,140,70,"If it builds up enough speed swimming, it can fly over 300 feet out of the water from the surface of the ocean."
Skarmory,227.gif,227b.gif,227.ogg,SLOW,65,"STEEL,FLYING",80,140,40,70,70,"After nesting in bramble bushes, the wings of its chicks grow hard from scratches by thorns."
Houndour,228.gif,228b.gif,228.ogg,SLOW,45,"DARK,FIRE",60,30,80,50,65,"Around dawn, its ominous howl echoes through the area to announce that this is its territory."
Houndoom,229.gif,229b.gif,229.ogg,SLOW,75,"DARK,FIRE",90,50,110,80,95,"Long ago, people imagined its eerie howls to be the call of the grim reaper."
Kingdra,230.gif,230b.gif,230.ogg,MEDIUM,75,"WATER,DRAGON",95,95,95,95,85,"It is said that it usually hides in underwater caves. It can create whirlpools by yawning."
Phanpy,231.gif,231b.gif,231.ogg,MEDIUM,90,GROUND,60,60,40,40,40,"As a sign of affection, it bumps with its snout. However, it is so strong, it may send you flying."
Donphan,232.gif,232b.gif,232.ogg,MEDIUM,90,GROUND,120,120,60,60,50,"It has sharp, hard tusks and a rugged hide. Its Tackle is strong enough to knock down a house."
Porygon2,233.gif,233b.gif,233.ogg,MEDIUM,85,NORMAL,80,90,105,95,60,"Further research enhanced its abilities. Sometimes, it may exhibit motions that were not programmed."
Stantler,234.gif,234b.gif,234.ogg,SLOW,73,NORMAL,95,62,85,65,85,"Staring at its antlers creates an odd sensation as if one were being drawn into their centers."
Smeargle,235.gif,235b.gif,235.ogg,FAST,55,NORMAL,20,35,20,45,75,"It marks its territory by using its tail like a paintbrush. There are more than 5,000 different marks."
Tyrogue,236.gif,236b.gif,236.ogg,MEDIUM,35,FIGHTING,35,35,35,35,35,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
Hitmontop,237.gif,237b.gif,237.ogg,MEDIUM,50,FIGHTING,95,95,35,110,70,"It fights while spinning like a top. The centrifugal force boosts its destructive power by 10."
Smoochum,238.gif,238b.gif,238.ogg,MEDIUM,45,"ICE,PSYCHIC",30,15,85,65,65,"Its lips are the most sensitive part of its body. It always uses its lips first to examine things."
Elekid,239.gif,239b.gif,239.ogg,MEDIUM,45,ELECTRIC,63,37,65,55,95,"It generates electricity by whirling its arms. However, it can’t store the energy it makes."
Magby,240.gif,240b.gif,240.ogg,MEDIUM,45,FIRE,75,37,70,55,83,"It’s small, but its body temperature is over 1,100 degrees Fahrenheit. Embers escape its mouth and nose when it breathes."
Miltank,241.gif,241b.gif,241.ogg,SLOW,95,NORMAL,80,105,40,70,100,"If it is around babies, the milk it produces contains much more nutrition than usual."
Blissey,242.gif,242b.gif,242.ogg,FAST,255,NORMAL,10,10,75,135,55,"The eggs it lays are filled with happiness. Eating even one bite will bring a smile to anyone."
Raikou,243.gif,243b.gif,243.ogg,SLOW,90,ELECTRIC,85,75,115,100,115,"The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning."
Entei,244.gif,244b.gif,244.ogg,SLOW,115,FIRE,115,85,90,75,100,"A Pokémon that races across the land. It is said that one is born every time a new volcano appears."
Suicune,245.gif,245b.gif,245.ogg,SLOW,100,WATER,75,115,90,115,85,"It races around the world to purify fouled water. It dashes away with the north wind."
Larvitar,246.gif,246b.gif,246.ogg,SLOW,50,"ROCK,GROUND",64,50,45,50,41,"It feeds on soil. After it has eaten a large mountain, it falls asleep so it can grow."
Pupitar,247.gif,247b.gif,247.ogg,SLOW,70,"ROCK,GROUND",84,70,65,70,51,"Its body is as hard as bedrock. By venting pressurized gas, it can launch itself like a rocket."
Tyranitar,248.gif,248b.gif,248.ogg,SLOW,100,"ROCK,DARK",134,110,95,100,61,"In just one of its mighty hands, it has the power to make the ground shake and mountains crumble."
Lugia,249.gif,249b.gif,249.ogg,SLOW,106,"PSYCHIC,FLYING",90,130,90,154,110,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
Ho,250.gif,250b.gif,250.ogg,SLOW,106,"FIRE,FLYING",130,90,110,154,90,"A legend says that its body glows in seven colors. A rainbow is said to form behind it when it flies."
Celebi,251.gif,251b.gif,251.ogg,MEDIUM_SLOW,100,"PSYCHIC,GRASS",100,100,100,100,100,"This Pokémon wanders across time. Grass and trees flourish in the forests in which it has appeared."
Treecko,252.gif,252b.gif,252.ogg,MEDIUM_SLOW,40,GRASS,45,35,65,55,70,"It quickly scales even vertical walls. It senses humidity with its tail to predict the next day’s weather."
Grovyle,253.gif,253b.gif,253.ogg,MEDIUM_SLOW,50,GRASS,65,45,85,65,95,"Its strongly developed thigh muscles give it astounding agility and jumping performance."
Sceptile,254.gif,254b.gif,254.ogg,MEDIUM_SLOW,70,GRASS,85,65,105,85,120,"The leaves that grow on its arms can slice down thick trees. It is without peer in jungle combat."
Torchic,255.gif,255b.gif,255.ogg,MEDIUM_SLOW,45,FIRE,60,40,70,50,45,"It has a flame sac inside its belly that perpetually burns. It feels warm if it is hugged."
Combusken,256.gif,256b.gif,256.ogg,MEDIUM_SLOW,60,"FIRE,FIGHTING",85,60,85,60,55,"Its kicking mastery lets it loose 10 kicks per second. It emits sharp cries to intimidate foes."
Blaziken,257.gif,257b.gif,257.ogg,MEDIUM_SLOW,80,"FIRE,FIGHTING",120,70,110,70,80,"It can clear a 30-story building in a leap. Its fiery punches scorch its foes."
Mudkip,258.gif,258b.gif,258.ogg,MEDIUM_SLOW,50,WATER,70,50,50,50,40,"Its large tail fin propels it through water with powerful acceleration. It is strong in spite of its size."
Marshtomp,259.gif,259b.gif,259.ogg,MEDIUM_SLOW,70,"WATER,GROUND",85,70,60,70,50,"Its sturdy legs give it sure footing, even in mud. It burrows into dirt to sleep."
Swampert,260.gif,260b.gif,260.ogg,MEDIUM_SLOW,100,"WATER,GROUND",110,90,85,90,60,"Its arms are hard as rock. With one swing, it can break a boulder into pieces."
Poochyena,261.gif,261b.gif,261.ogg,MEDIUM,35,DARK,55,35,30,30,35,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
Mightyena,262.gif,262b.gif,262.ogg,MEDIUM,70,DARK,90,70,60,60,70,"It will always obey the commands of a skilled Trainer. Its behavior arises from its living in packs in ancient times."
Zigzagoon,263.gif,263b.gif,263.ogg,MEDIUM,38,NORMAL,30,41,30,41,60,"It walks in zigzag fashion. It’s good at finding items in the grass and even in the ground."
Linoone,264.gif,264b.gif,264.ogg,MEDIUM,78,NORMAL,70,61,50,61,100,"When running in a straight line, it can easily top 60 miles an hour. It has a tough time with curved roads."
Wurmple,265.gif,265b.gif,265.ogg,MEDIUM,45,BUG,45,35,20,30,20,"It loves to eat leaves. If it is attacked by a Starly, it will defend itself with its spiked rear."
Silcoon,266.gif,266b.gif,266.ogg,MEDIUM,50,BUG,35,55,25,25,15,"It wraps silk around the branches of a tree. It drinks rainwater on its silk while awaiting evolution."
Beautifly,267.gif,267b.gif,267.ogg,MEDIUM,60,"BUG,FLYING",70,50,100,50,65,"Vibrantly patterned wings are its prominent feature. It sucks sweet flower nectar with its long mouth."
Cascoon,268.gif,268b.gif,268.ogg,MEDIUM,50,BUG,35,55,25,25,15,"Its body, which is made of soft silk, hardens over time. When cracks appear, evolution is near."
Dustox,269.gif,269b.gif,269.ogg,MEDIUM,60,"BUG,POISON",50,70,50,90,65,"A nocturnal Pokémon. Drawn by streetlights, they messily eat the leaves of trees lining boulevards."
Lotad,270.gif,270b.gif,270.ogg,MEDIUM_SLOW,40,"WATER,GRASS",30,30,40,50,30,"It looks like an aquatic plant and serves as a ferry to Pokémon that can’t swim."
Lombre,271.gif,271b.gif,271.ogg,MEDIUM_SLOW,60,"WATER,GRASS",50,50,60,70,50,"It lives at the water’s edge where it is sunny. It sleeps on a bed of water-grass by day and becomes active at night."
Ludicolo,272.gif,272b.gif,272.ogg,MEDIUM_SLOW,80,"WATER,GRASS",70,70,90,100,70,"If it hears festive music, all its muscles fill with energy. It can’t help breaking out into a dance."
Seedot,273.gif,273b.gif,273.ogg,MEDIUM_SLOW,40,GRASS,40,50,30,30,30,"It attaches itself to a tree branch using the top of its head. Strong winds can sometimes make it fall."
Nuzleaf,274.gif,274b.gif,274.ogg,MEDIUM_SLOW,70,"GRASS,DARK",70,40,60,40,60,"The sound of its grass flute makes its listeners uneasy. It lives deep in forests."
Shiftry,275.gif,275b.gif,275.ogg,MEDIUM_SLOW,90,"GRASS,DARK",100,60,90,60,80,"A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action."
Taillow,276.gif,276b.gif,276.ogg,MEDIUM_SLOW,40,"NORMAL,FLYING",55,30,30,30,85,"It has a gutsy spirit that makes it bravely take on tough foes. It flies in search of warm climates."
Swellow,277.gif,277b.gif,277.ogg,MEDIUM_SLOW,60,"NORMAL,FLYING",85,60,50,50,125,"If its two tail feathers are standing at attention, it is proof of good health. It soars elegantly in the sky."
Wingull,278.gif,278b.gif,278.ogg,MEDIUM,40,"WATER,FLYING",30,30,55,30,85,"Catching sea winds with its long wings, it soars as if it were a glider. It folds its wings to rest."
Pelipper,279.gif,279b.gif,279.ogg,MEDIUM,60,"WATER,FLYING",50,100,85,70,65,"It dips its large bill in the sea, then scoops up numerous prey along with water."
Ralts,280.gif,280b.gif,280.ogg,SLOW,28,"PSYCHIC,FAIRY",25,25,45,35,40,"If its horns capture the warm feelings of people or Pokémon, its body warms up slightly."
Kirlia,281.gif,281b.gif,281.ogg,SLOW,38,"PSYCHIC,FAIRY",35,35,65,55,50,"The cheerful spirit of its Trainer gives it energy for its psychokinetic power. It spins and dances when happy."
Gardevoir,282.gif,282b.gif,282.ogg,SLOW,68,"PSYCHIC,FAIRY",65,65,125,115,80,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
Surskit,283.gif,283b.gif,283.ogg,MEDIUM,40,"BUG,WATER",30,32,50,52,65,"They usually live on ponds, but after an evening shower, they may appear on puddles in towns."
Masquerain,284.gif,284b.gif,284.ogg,MEDIUM,70,"BUG,FLYING",60,62,80,82,60,"Its antennae have eye patterns on them. Its four wings enable it to hover and fly in any direction."
Shroomish,285.gif,285b.gif,285.ogg,FLUCTUATING,60,GRASS,40,60,40,60,35,"It prefers damp places. By day it remains still in the forest shade. It releases toxic powder from its head."
Breloom,286.gif,286b.gif,286.ogg,FLUCTUATING,60,"GRASS,FIGHTING",130,80,60,60,70,"Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers."
Slakoth,287.gif,287b.gif,287.ogg,SLOW,60,NORMAL,60,60,35,35,30,"The way Slakoth lolls around makes anyone who watches it feel like doing the same."
Vigoroth,288.gif,288b.gif,288.ogg,SLOW,80,NORMAL,80,80,55,55,90,"Its heartbeat is fast and its blood so agitated that it can’t sit still for one second."
Slaking,289.gif,289b.gif,289.ogg,SLOW,150,NORMAL,160,100,95,65,100,"The world’s laziest Pokémon. It moves to another spot when there’s no food left within its reach."
Nincada,290.gif,290b.gif,290.ogg,ERRATIC,31,"BUG,GROUND",45,90,30,30,40,"Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead."
Ninjask,291.gif,291b.gif,291.ogg,ERRATIC,61,"BUG,FLYING",90,45,50,50,160,"Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible."
Shedinja,292.gif,292b.gif,292.ogg,ERRATIC,1,"BUG,GHOST",90,45,30,30,40,"A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit."
Whismur,293.gif,293b.gif,293.ogg,MEDIUM_SLOW,64,NORMAL,51,23,51,23,28,"It usually murmurs but starts crying loudly if it senses danger. It stops when its ear covers are shut."
Loudred,294.gif,294b.gif,294.ogg,MEDIUM_SLOW,84,NORMAL,71,43,71,43,48,"It shouts loudly by inhaling air, and then uses its well-developed stomach muscles to exhale."
Exploud,295.gif,295b.gif,295.ogg,MEDIUM_SLOW,104,NORMAL,91,63,91,73,68,"Its howls can be heard over six miles away. It emits all sorts of noises from the ports on its body."
Makuhita,296.gif,296b.gif,296.ogg,FLUCTUATING,72,FIGHTING,60,30,20,30,25,"It toughens up by slamming into thick trees over and over. It gains a sturdy body and dauntless spirit."
Hariyama,297.gif,297b.gif,297.ogg,FLUCTUATING,144,FIGHTING,120,60,40,60,50,"It stomps on the ground to build power. It can send a 10-ton truck flying with a straight-arm punch."
Azurill,298.gif,298b.gif,298.ogg,FAST,50,"NORMAL,FAIRY",20,40,20,40,20,"A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail."
Nosepass,299.gif,299b.gif,299.ogg,MEDIUM,30,ROCK,45,135,45,90,30,"Its magnetic nose always faces north and draws iron objects to its body to protect itself better."
Skitty,300.gif,300b.gif,300.ogg,FAST,50,NORMAL,45,45,35,35,50,"It can’t stop itself from chasing moving things, and it runs in a circle, chasing its own tail."
Delcatty,301.gif,301b.gif,301.ogg,FAST,70,NORMAL,65,65,55,55,70,"It dislikes dirty places. It often searches for a comfortable place in which to groom itself."
Sableye,302.gif,302b.gif,302.ogg,MEDIUM_SLOW,50,"DARK,GHOST",75,75,65,65,50,"It hides in the darkness of caves. Its diet of gems has transformed its eyes into gemstones."
Mawile,303.gif,303b.gif,303.ogg,FAST,50,"STEEL,FAIRY",85,85,55,55,50,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws."
Aron,304.gif,304b.gif,304.ogg,SLOW,50,"STEEL,ROCK",70,100,40,40,30,"It usually lives deep in mountains. However, hunger may drive it to eat railroad tracks and cars."
Lairon,305.gif,305b.gif,305.ogg,SLOW,60,"STEEL,ROCK",90,140,50,50,40,"It loves iron ore. Groups of them fight for territory by bashing one another with their steel bodies."
Aggron,306.gif,306b.gif,306.ogg,SLOW,70,"STEEL,ROCK",110,180,60,60,50,"It claims an entire mountain as its own. The more wounds it has, the more it has battled, so don’t take it lightly."
Meditite,307.gif,307b.gif,307.ogg,MEDIUM,30,"FIGHTING,PSYCHIC",40,55,40,55,60,"It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation."
Medicham,308.gif,308b.gif,308.ogg,MEDIUM,60,"FIGHTING,PSYCHIC",60,75,60,75,80,"It elegantly avoids attacks with dance-like steps, then launches a devastating blow in the same motion."
Electrike,309.gif,309b.gif,309.ogg,SLOW,40,ELECTRIC,45,40,65,40,65,"Using electricity stored in its fur, it stimulates its muscles to heighten its reaction speed."
Manectric,310.gif,310b.gif,310.ogg,SLOW,70,ELECTRIC,75,60,105,60,105,"It rarely appears before people. It is said to nest where lightning has fallen."
Plusle,311.gif,311b.gif,311.ogg,MEDIUM,60,ELECTRIC,50,40,85,75,95,"It cheers on friends with pom-poms made of sparks. It drains power from telephone poles."
Minun,312.gif,312b.gif,312.ogg,MEDIUM,60,ELECTRIC,40,50,75,85,95,"Exposure to electricity from Minun and Plusle promotes blood circulation and relaxes muscles."
Volbeat,313.gif,313b.gif,313.ogg,ERRATIC,65,BUG,73,55,47,75,85,"It communicates with others by lighting up its rear at night. It loves Illumise’s sweet aroma."
Illumise,314.gif,314b.gif,314.ogg,FLUCTUATING,65,BUG,47,55,73,75,85,"Its fragrance attracts a swarm of Volbeat, so they draw over 200 patterns in the night sky."
Roselia,315.gif,315b.gif,315.ogg,MEDIUM_SLOW,50,"GRASS,POISON",60,45,100,80,65,"It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is."
Gulpin,316.gif,316b.gif,316.ogg,FLUCTUATING,70,POISON,43,53,43,53,40,"It has a small heart and brain. Its stomach comprises most of its body, with enzymes to dissolve anything."
Swalot,317.gif,317b.gif,317.ogg,FLUCTUATING,100,POISON,73,83,73,83,55,"It swallows anything whole. It sweats toxic fluids from its follicles to douse foes."
Carvanha,318.gif,318b.gif,318.ogg,SLOW,45,"WATER,DARK",90,20,65,20,65,"They form packs to attack boats and rip out their hulls to sink them. They live in rivers in the jungle."
Sharpedo,319.gif,319b.gif,319.ogg,SLOW,70,"WATER,DARK",120,40,95,40,95,"Its fangs rip through sheet iron. It swims at 75 mph and is known as “The Bully of the Sea.”"
Wailmer,320.gif,320b.gif,320.ogg,FLUCTUATING,130,WATER,70,35,70,35,60,"It bounces playfully like a ball. The more seawater it swallows, the higher it bounces."
Wailord,321.gif,321b.gif,321.ogg,FLUCTUATING,170,WATER,90,45,90,45,60,"It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water."
Numel,322.gif,322b.gif,322.ogg,MEDIUM,60,"FIRE,GROUND",60,40,65,45,35,"Its humped back stores intensely hot magma. In rain, the magma cools, slowing its movement."
Camerupt,323.gif,323b.gif,323.ogg,MEDIUM,70,"FIRE,GROUND",100,70,105,75,40,"The volcanoes on its back have a major eruption every 10 years--or whenever it becomes really angry."
Torkoal,324.gif,324b.gif,324.ogg,MEDIUM,70,FIRE,85,140,85,70,20,"You find abandoned coal mines full of them. They dig tirelessly in search of coal."
Spoink,325.gif,325b.gif,325.ogg,FAST,60,PSYCHIC,25,35,70,80,60,"It bounces constantly, using its tail like a spring. The shock of bouncing keeps its heart beating."
